Freq (MHz),re(S11),im(S11),re(Z),im(Z)
13.650,-0.19747,-0.38843,25.559,-24.510
13.700,-0.20543,-0.38146,25.407,-23.862
13.750,-0.21391,-0.37344,25.256,-23.152
13.800,-0.22135,-0.36642,25.116,-22.536
13.850,-0.22813,-0.35892,25.017,-21.923
13.900,-0.23784,-0.35061,24.786,-21.183
13.950,-0.24433,-0.34284,24.694,-20.580
14.000,-0.25231,-0.33491,24.523,-19.930
14.050,-0.26084,-0.32696,24.315,-19.271
14.100,-0.26713,-0.31881,24.220,-18.673
14.150,-0.27477,-0.31061,24.049,-18.043
14.200,-0.28136,-0.30088,23.964,-17.368
14.250,-0.28984,-0.29194,23.751,-16.693
14.300,-0.29645,-0.28315,23.622,-16.079
14.350,-0.30304,-0.27358,23.504,-15.433
14.400,-0.31050,-0.26436,23.323,-14.791
14.450,-0.31730,-0.25459,23.180,-14.143
14.500,-0.32322,-0.24502,23.068,-13.530
14.550,-0.32833,-0.23549,22.988,-12.940
14.600,-0.33479,-0.22515,22.845,-12.287
14.650,-0.34106,-0.21418,22.713,-11.613
14.700,-0.34699,-0.20454,22.567,-11.019
14.750,-0.35324,-0.19395,22.409,-10.378
14.800,-0.35754,-0.18387,22.336,-9.798
14.850,-0.36202,-0.17316,22.253,-9.186
14.900,-0.36774,-0.16231,22.098,-8.556
14.950,-0.37306,-0.15189,21.950,-7.959
15.000,-0.37727,-0.14127,21.851,-7.370
15.050,-0.38062,-0.12916,21.803,-6.717
15.100,-0.38520,-0.11858,21.667,-6.135
15.150,-0.38979,-0.10776,21.523,-5.546
15.200,-0.39435,-0.09642,21.377,-4.936
15.250,-0.39733,-0.08435,21.305,-4.304
15.300,-0.39896,-0.07276,21.289,-3.708
15.350,-0.40394,-0.06210,21.089,-3.144
15.400,-0.40695,-0.04946,20.988,-2.495
15.450,-0.40999,-0.03870,20.869,-1.945
15.500,-0.41099,-0.02685,20.847,-1.348
15.550,-0.41277,-0.01576,20.774,-0.790
15.600,-0.41744,-0.00357,20.549,-0.178
15.650,-0.41963,0.00862,20.438,0.428
15.700,-0.41912,0.01983,20.452,0.985
15.750,-0.42045,0.03209,20.364,1.589
15.800,-0.42154,0.04452,20.277,2.201
15.850,-0.42329,0.05531,20.154,2.726
15.900,-0.42649,0.06817,19.943,3.343
15.950,-0.42453,0.07940,19.981,3.901
16.000,-0.42418,0.09222,19.922,4.527
16.050,-0.42428,0.10283,19.847,5.043
16.100,-0.42544,0.11454,19.704,5.601
16.150,-0.42604,0.12772,19.566,6.231
16.200,-0.42442,0.13883,19.544,6.778
16.250,-0.42282,0.15189,19.491,7.418
16.300,-0.42232,0.16265,19.400,7.936
16.350,-0.42214,0.17439,19.275,8.495
16.400,-0.42108,0.18596,19.184,9.053
16.450,-0.41771,0.19789,19.188,9.658
16.500,-0.41609,0.20953,19.104,10.225
16.550,-0.41536,0.22076,18.975,10.759
16.600,-0.41415,0.23156,18.867,11.277
16.650,-0.41037,0.24335,18.854,11.880
16.700,-0.40584,0.25431,18.878,12.460
16.750,-0.40411,0.26444,18.780,12.954
16.800,-0.40281,0.27673,18.615,13.536
16.850,-0.40028,0.28695,18.536,14.045
16.900,-0.39430,0.29769,18.594,14.645
16.950,-0.39038,0.30959,18.525,15.258
17.000,-0.38770,0.31904,18.444,15.736
17.050,-0.38553,0.33049,18.289,16.289
17.100,-0.38053,0.34042,18.284,16.838
17.150,-0.37473,0.35115,18.286,17.442
17.200,-0.37113,0.36087,18.208,17.952
17.250,-0.36817,0.37055,18.095,18.443
17.300,-0.36381,0.38139,18.005,19.018
17.350,-0.35733,0.38999,18.056,19.554
17.400,-0.35082,0.39861,18.099,20.095
17.450,-0.34778,0.40937,17.929,20.633
17.500,-0.34516,0.41922,17.759,21.117
17.550,-0.33809,0.42915,17.763,21.733
17.600,-0.33040,0.43723,17.838,22.295
17.650,-0.32368,0.44437,17.895,22.793
17.700,-0.32167,0.45398,17.677,23.246
17.750,-0.31863,0.46553,17.432,23.806
17.800,-0.31046,0.47323,17.506,24.377
17.850,-0.30050,0.47970,17.685,24.966
17.900,-0.29630,0.48763,17.580,25.422
17.950,-0.29202,0.49720,17.415,25.943
18.000,-0.28681,0.50686,17.274,26.498
18.050,-0.27873,0.51251,17.379,27.005
18.100,-0.26980,0.52020,17.435,27.626
18.150,-0.26573,0.52770,17.307,28.061
18.200,-0.26183,0.53797,17.061,28.591
