Freq (MHz),re(S11),im(S11),re(Z),im(Z)
11.800,-0.85948,0.46708,0.587,12.707
11.850,-0.85889,0.47049,0.557,12.796
11.900,-0.85766,0.47129,0.576,12.831
11.950,-0.85656,0.47192,0.594,12.861
12.000,-0.85663,0.47434,0.561,12.917
12.050,-0.85500,0.47672,0.569,12.996
12.100,-0.85359,0.47915,0.570,13.072
12.150,-0.85224,0.48084,0.580,13.131
12.200,-0.85143,0.48130,0.593,13.152
12.250,-0.85047,0.48356,0.586,13.219
12.300,-0.84923,0.48432,0.605,13.254
12.350,-0.84922,0.48583,0.585,13.290
12.400,-0.84663,0.48941,0.599,13.410
12.450,-0.84697,0.49194,0.556,13.466
12.500,-0.84580,0.49159,0.589,13.473
12.550,-0.84468,0.49359,0.588,13.536
12.600,-0.84306,0.49581,0.596,13.611
12.650,-0.84280,0.49613,0.598,13.622
12.700,-0.84189,0.49872,0.584,13.696
12.750,-0.84030,0.49930,0.613,13.732
12.800,-0.83954,0.50014,0.620,13.762
12.850,-0.83824,0.50342,0.604,13.859
12.900,-0.83730,0.50507,0.604,13.911
12.950,-0.83722,0.50771,0.568,13.974
13.000,-0.83524,0.50756,0.617,13.999
13.050,-0.83408,0.50964,0.615,14.065
13.100,-0.83426,0.51265,0.568,14.133
13.150,-0.83243,0.51332,0.602,14.175
13.200,-0.83110,0.51448,0.616,14.222
13.250,-0.82952,0.51534,0.641,14.265
13.300,-0.82965,0.51776,0.603,14.320
13.350,-0.82813,0.51993,0.607,14.393
13.400,-0.82693,0.52146,0.613,14.447
13.450,-0.82643,0.52183,0.619,14.463
13.500,-0.82508,0.52392,0.621,14.532
13.550,-0.82399,0.52624,0.612,14.602
13.600,-0.82287,0.52624,0.638,14.619
13.650,-0.82184,0.52811,0.635,14.678
13.700,-0.82042,0.53086,0.627,14.764
13.750,-0.81963,0.53197,0.629,14.801
13.800,-0.81861,0.53494,0.608,14.886
13.850,-0.81783,0.53432,0.636,14.884
13.900,-0.81634,0.53799,0.615,14.992
13.950,-0.81484,0.53804,0.650,15.016
14.000,-0.81300,0.54102,0.647,15.114
14.050,-0.81342,0.54150,0.630,15.118
14.100,-0.81190,0.54313,0.640,15.180
14.150,-0.81114,0.54667,0.604,15.274
14.200,-0.80877,0.54622,0.666,15.300
14.250,-0.80921,0.54813,0.626,15.338
14.300,-0.80777,0.55003,0.630,15.405
14.350,-0.80616,0.55174,0.640,15.470
14.400,-0.80437,0.55281,0.665,15.523
14.450,-0.80352,0.55364,0.672,15.555
14.500,-0.80265,0.55628,0.651,15.630
14.550,-0.80164,0.55754,0.654,15.676
14.600,-0.80037,0.56033,0.639,15.761
14.650,-0.79985,0.55958,0.663,15.751
14.700,-0.79826,0.56149,0.669,15.821
14.750,-0.79749,0.56367,0.652,15.884
14.800,-0.79533,0.56567,0.670,15.965
14.850,-0.79587,0.56596,0.653,15.963
14.900,-0.79466,0.56808,0.646,16.032
14.950,-0.79333,0.56932,0.657,16.082
15.000,-0.79139,0.57216,0.655,16.179
15.050,-0.79088,0.57245,0.662,16.194
15.100,-0.78897,0.57361,0.687,16.252
15.150,-0.78876,0.57510,0.667,16.290
15.200,-0.78749,0.57767,0.654,16.370
15.250,-0.78669,0.57831,0.662,16.398
15.300,-0.78432,0.58034,0.682,16.484
15.350,-0.78468,0.58331,0.624,16.546
15.400,-0.78236,0.58334,0.677,16.586
15.450,-0.78180,0.58564,0.651,16.648
15.500,-0.78068,0.58557,0.678,16.665
15.550,-0.77975,0.58814,0.656,16.740
15.600,-0.77902,0.58951,0.649,16.784
15.650,-0.77671,0.59067,0.682,16.849
15.700,-0.77501,0.59236,0.692,16.917
15.750,-0.77544,0.59333,0.666,16.932
15.800,-0.77322,0.59544,0.680,17.018
15.850,-0.77168,0.59611,0.703,17.060
15.900,-0.77137,0.59925,0.656,17.137
15.950,-0.76905,0.59871,0.718,17.165
16.000,-0.76918,0.60130,0.670,17.222
16.050,-0.76779,0.60100,0.707,17.239
16.100,-0.76595,0.60376,0.700,17.334
16.150,-0.76522,0.60557,0.685,17.388
16.200,-0.76446,0.60556,0.702,17.401
16.250,-0.76335,0.60835,0.678,17.484
16.300,-0.76096,0.60983,0.706,17.560
16.350,-0.75946,0.61018,0.734,17.594
16.400,-0.75941,0.61340,0.677,17.668
16.450,-0.75780,0.61398,0.703,17.710
16.500,-0.75734,0.61623,0.673,17.769
16.550,-0.75434,0.61726,0.722,17.847
16.600,-0.75435,0.61891,0.692,17.883
16.650,-0.75319,0.61895,0.718,17.905
16.700,-0.75192,0.61998,0.727,17.952
16.750,-0.75057,0.62315,0.700,18.048
16.800,-0.74873,0.62267,0.750,18.071
16.850,-0.74797,0.62446,0.734,18.125
16.900,-0.74726,0.62561,0.729,18.164
16.950,-0.74721,0.62932,0.661,18.248
17.000,-0.74484,0.62947,0.712,18.295
17.050,-0.74287,0.63116,0.724,18.369
17.100,-0.74216,0.63239,0.717,18.410
17.150,-0.74251,0.63490,0.663,18.460
17.200,-0.73950,0.63526,0.723,18.524
17.250,-0.73916,0.63454,0.744,18.514
17.300,-0.73702,0.63842,0.719,18.641
17.350,-0.73596,0.63912,0.729,18.677
17.400,-0.73475,0.63987,0.742,18.716
17.450,-0.73331,0.64220,0.729,18.796
17.500,-0.73232,0.64352,0.726,18.844
17.550,-0.73119,0.64477,0.727,18.893
17.600,-0.72961,0.64501,0.758,18.929
17.650,-0.72860,0.64586,0.764,18.967
17.700,-0.72849,0.64786,0.728,19.013
17.750,-0.72656,0.64949,0.739,19.087
17.800,-0.72484,0.65008,0.765,19.133
17.850,-0.72320,0.65216,0.761,19.211
17.900,-0.72234,0.65477,0.729,19.285
17.950,-0.72102,0.65494,0.755,19.315
18.000,-0.71959,0.65648,0.756,19.377
18.050,-0.71868,0.65657,0.774,19.397
18.100,-0.71732,0.65963,0.744,19.491
18.150,-0.71659,0.65994,0.753,19.512
18.200,-0.71449,0.66181,0.763,19.595
18.250,-0.71295,0.66323,0.768,19.657
18.300,-0.71282,0.66422,0.751,19.681
18.350,-0.71094,0.66519,0.773,19.740
18.400,-0.70991,0.66811,0.737,19.824
18.450,-0.70932,0.66887,0.734,19.853
18.500,-0.70665,0.66931,0.784,19.916
18.550,-0.70624,0.67071,0.764,19.955
18.600,-0.70503,0.67188,0.767,20.005
18.650,-0.70340,0.67370,0.765,20.078
18.700,-0.70221,0.67573,0.750,20.146
18.750,-0.70081,0.67623,0.770,20.186
18.800,-0.69930,0.67739,0.779,20.242
18.850,-0.69894,0.67827,0.769,20.268
18.900,-0.69662,0.67978,0.788,20.349
18.950,-0.69607,0.68041,0.786,20.374
19.000,-0.69405,0.68316,0.773,20.475
19.050,-0.69310,0.68330,0.791,20.498
19.100,-0.69255,0.68465,0.774,20.539
19.150,-0.69028,0.68613,0.792,20.618
19.200,-0.69043,0.68871,0.735,20.670
19.250,-0.68697,0.68940,0.795,20.758
19.300,-0.68673,0.68968,0.794,20.769
19.350,-0.68670,0.69253,0.735,20.831
