Freq (MHz),re(S11),im(S11),re(Z),im(Z)
9.600,0.84355,-0.16916,244.685,-318.624
9.650,0.84313,-0.17109,241.147,-317.537
9.700,0.84263,-0.17332,237.142,-316.250
9.750,0.84311,-0.17608,232.082,-316.589
9.800,0.84228,-0.17761,229.538,-314.786
9.850,0.84292,-0.17990,225.398,-315.402
9.900,0.84214,-0.18220,221.619,-313.509
9.950,0.84091,-0.18501,217.210,-310.735
10.000,0.84115,-0.18596,215.562,-310.900
10.050,0.84122,-0.18899,210.596,-310.189
10.100,0.83960,-0.18998,209.455,-307.303
10.150,0.84062,-0.19259,205.038,-308.183
10.200,0.83987,-0.19456,202.190,-306.421
10.250,0.83852,-0.19636,199.837,-303.811
10.300,0.83948,-0.19861,196.155,-304.556
10.350,0.83910,-0.20213,191.065,-302.832
10.400,0.83765,-0.20273,190.667,-300.530
10.450,0.83727,-0.20471,187.957,-299.342
10.500,0.83788,-0.20762,183.642,-299.218
10.550,0.83786,-0.20932,181.288,-298.581
10.600,0.83604,-0.21095,179.698,-295.514
10.650,0.83613,-0.21392,175.665,-294.591
10.700,0.83618,-0.21671,171.982,-293.642
10.750,0.83592,-0.21832,169.991,-292.706
10.800,0.83528,-0.21929,168.979,-291.530
10.850,0.83406,-0.22086,167.437,-289.408
10.900,0.83456,-0.22276,164.877,-289.332
10.950,0.83385,-0.22664,160.386,-286.990
11.000,0.83267,-0.22730,160.044,-285.315
11.050,0.83184,-0.22970,157.499,-283.436
11.100,0.83241,-0.23205,154.540,-283.216
11.150,0.83221,-0.23478,151.492,-281.938
11.200,0.83054,-0.23555,151.252,-279.751
11.250,0.83086,-0.23819,148.185,-279.094
11.300,0.83073,-0.23999,146.266,-278.258
11.350,0.82979,-0.24161,144.871,-276.615
11.400,0.82992,-0.24414,142.113,-275.770
11.450,0.82928,-0.24615,140.248,-274.308
11.500,0.82785,-0.24704,139.878,-272.482
11.550,0.82811,-0.25004,136.699,-271.592
11.600,0.82705,-0.25212,135.016,-269.717
11.650,0.82645,-0.25408,133.310,-268.366
11.700,0.82533,-0.25604,131.825,-266.531
11.750,0.82538,-0.25760,130.293,-265.982
11.800,0.82580,-0.26083,127.073,-265.129
11.850,0.82562,-0.26242,125.658,-264.346
11.900,0.82361,-0.26391,125.055,-261.916
11.950,0.82294,-0.26511,124.218,-260.853
12.000,0.82332,-0.26832,121.185,-259.970
12.050,0.82266,-0.27001,119.941,-258.745
12.100,0.82261,-0.27305,117.310,-257.534
12.150,0.82081,-0.27339,117.701,-255.862
12.200,0.82152,-0.27536,115.756,-255.728
12.250,0.82076,-0.27822,113.635,-254.007
12.300,0.82040,-0.27981,112.459,-253.109
12.350,0.81956,-0.28220,110.827,-251.529
12.400,0.81794,-0.28436,109.688,-249.425
12.450,0.81746,-0.28556,108.914,-248.600
12.500,0.81795,-0.28803,106.800,-248.078
12.550,0.81629,-0.29008,105.825,-246.045
12.600,0.81673,-0.29131,104.722,-245.937
12.650,0.81555,-0.29422,102.957,-243.988
12.700,0.81425,-0.29549,102.486,-242.570
12.750,0.81435,-0.29789,100.685,-241.782
12.800,0.81354,-0.29970,99.663,-240.556
12.850,0.81254,-0.30019,99.659,-239.662
12.900,0.81260,-0.30366,97.176,-238.485
12.950,0.81150,-0.30417,97.205,-237.534
13.000,0.81074,-0.30726,95.328,-235.935
13.050,0.81003,-0.30860,94.656,-234.993
13.100,0.80955,-0.31087,93.292,-233.895
13.150,0.80889,-0.31317,91.986,-232.669
13.200,0.80773,-0.31511,91.105,-231.250
13.250,0.80734,-0.31692,90.057,-230.389
13.300,0.80642,-0.31809,89.615,-229.410
13.350,0.80654,-0.32094,87.766,-228.542
13.400,0.80494,-0.32217,87.515,-227.134
13.450,0.80461,-0.32469,86.067,-226.104
13.500,0.80360,-0.32739,84.746,-224.615
13.550,0.80338,-0.32836,84.228,-224.166
13.600,0.80189,-0.33105,83.103,-222.416
13.650,0.80151,-0.33191,82.715,-221.918
13.700,0.80181,-0.33456,81.067,-221.255
13.750,0.79981,-0.33669,80.472,-219.431
13.800,0.79960,-0.33796,79.810,-218.918
13.850,0.79860,-0.33922,79.404,-217.963
13.900,0.79803,-0.34209,77.975,-216.761
13.950,0.79686,-0.34295,77.857,-215.852
14.000,0.79672,-0.34556,76.469,-214.991
14.050,0.79635,-0.34759,75.483,-214.177
14.100,0.79466,-0.34836,75.572,-213.040
14.150,0.79396,-0.35054,74.622,-212.022
14.200,0.79361,-0.35282,73.528,-211.167
14.250,0.79343,-0.35490,72.500,-210.468
14.300,0.79198,-0.35743,71.629,-208.989
14.350,0.79102,-0.35872,71.252,-208.129
14.400,0.79049,-0.36034,70.588,-207.405
14.450,0.79044,-0.36280,69.380,-206.680
14.500,0.78956,-0.36460,68.745,-205.734
14.550,0.78877,-0.36655,68.024,-204.802
14.600,0.78678,-0.36629,68.700,-203.912
14.650,0.78561,-0.36901,67.708,-202.608
14.700,0.78565,-0.37136,66.588,-201.986
14.750,0.78424,-0.37382,65.817,-200.660
14.800,0.78364,-0.37499,65.434,-200.068
14.850,0.78248,-0.37770,64.503,-198.818
14.900,0.78225,-0.37885,64.039,-198.411
14.950,0.78081,-0.38047,63.689,-197.337
15.000,0.78014,-0.38193,63.206,-196.661
15.050,0.77939,-0.38469,62.183,-195.616
15.100,0.77897,-0.38615,61.651,-195.060
15.150,0.77802,-0.38850,60.875,-194.048
15.200,0.77698,-0.38807,61.324,-193.710
15.250,0.77596,-0.39178,59.992,-192.343
15.300,0.77434,-0.39372,59.578,-191.185
15.350,0.77440,-0.39385,59.506,-191.177
15.400,0.77341,-0.39676,58.540,-190.054
15.450,0.77244,-0.39812,58.215,-189.324
15.500,0.77122,-0.40096,57.353,-188.149
15.550,0.77100,-0.40331,56.462,-187.497
15.600,0.76926,-0.40332,56.870,-186.804
15.650,0.76831,-0.40618,55.959,-185.756
15.700,0.76809,-0.40873,55.014,-185.078
15.750,0.76640,-0.40993,54.934,-184.146
15.800,0.76550,-0.41202,54.337,-183.323
15.850,0.76527,-0.41369,53.756,-182.857
15.900,0.76354,-0.41430,53.915,-182.063
15.950,0.76281,-0.41724,52.970,-181.133
16.000,0.76225,-0.41823,52.727,-180.708
16.050,0.76079,-0.42093,52.049,-179.576
16.100,0.75970,-0.42302,51.525,-178.721
16.150,0.75904,-0.42457,51.107,-178.148
16.200,0.75842,-0.42636,50.598,-177.543
16.250,0.75738,-0.42701,50.587,-177.034
16.300,0.75630,-0.42964,49.886,-176.095
16.350,0.75497,-0.43141,49.542,-175.260
16.400,0.75425,-0.43306,49.120,-174.669
16.450,0.75278,-0.43459,48.893,-173.846
16.500,0.75158,-0.43612,48.612,-173.122
16.550,0.75105,-0.43743,48.273,-172.679
16.600,0.74986,-0.44045,47.494,-171.671
16.650,0.74883,-0.44205,47.166,-171.010
16.700,0.74783,-0.44397,46.729,-170.298
16.750,0.74705,-0.44564,46.334,-169.719
16.800,0.74618,-0.44694,46.079,-169.179
16.850,0.74468,-0.44941,45.569,-168.219
16.900,0.74348,-0.45067,45.396,-167.593
16.950,0.74311,-0.45256,44.862,-167.119
17.000,0.74181,-0.45363,44.768,-166.506
17.050,0.74043,-0.45565,44.389,-165.695
17.100,0.73932,-0.45748,44.027,-165.011
17.150,0.73858,-0.45953,43.529,-164.408
17.200,0.73750,-0.46187,43.009,-163.648
17.250,0.73611,-0.46279,42.979,-163.063
17.300,0.73440,-0.46492,42.641,-162.167
