Freq (MHz),re(S11),im(S11),re(Z),im(Z)
10.400,0.47347,0.84077,3.503,85.433
10.450,0.47632,0.83853,3.581,85.794
10.500,0.48023,0.83668,3.574,86.238
10.550,0.48364,0.83463,3.607,86.649
10.600,0.48667,0.83253,3.661,87.028
10.650,0.49106,0.83060,3.634,87.531
10.700,0.49574,0.82836,3.618,88.080
10.750,0.49866,0.82578,3.719,88.483
10.800,0.50152,0.82453,3.696,88.818
10.850,0.50474,0.82163,3.812,89.273
10.900,0.50730,0.81939,3.897,89.634
10.950,0.51297,0.81688,3.845,90.314
11.000,0.51523,0.81508,3.902,90.629
11.050,0.51936,0.81246,3.938,91.174
11.100,0.52276,0.81096,3.900,91.591
11.150,0.52620,0.80848,3.956,92.069
11.200,0.52918,0.80573,4.063,92.521
11.250,0.53241,0.80405,4.048,92.939
11.300,0.53617,0.80281,3.956,93.389
11.350,0.53894,0.79940,4.140,93.869
11.400,0.54174,0.79822,4.094,94.224
11.450,0.54412,0.79574,4.206,94.615
11.500,0.54768,0.79315,4.256,95.139
11.550,0.55201,0.79078,4.234,95.733
11.600,0.55352,0.78921,4.304,95.989
11.650,0.55823,0.78667,4.270,96.642
11.700,0.56096,0.78450,4.324,97.068
11.750,0.56345,0.78232,4.392,97.473
11.800,0.56608,0.78049,4.414,97.873
11.850,0.56997,0.77849,4.368,98.422
11.900,0.57251,0.77653,4.406,98.827
11.950,0.57470,0.77417,4.510,99.224
12.000,0.57800,0.77215,4.502,99.723
12.050,0.58111,0.76919,4.605,100.270
12.100,0.58431,0.76735,4.579,100.752
12.150,0.58610,0.76539,4.667,101.090
12.200,0.58892,0.76262,4.768,101.604
12.250,0.59196,0.76081,4.746,102.077
12.300,0.59387,0.75896,4.810,102.429
12.350,0.59740,0.75701,4.764,102.973
12.400,0.60018,0.75438,4.850,103.489
12.450,0.60308,0.75190,4.907,104.012
12.500,0.60483,0.75110,4.861,104.275
12.550,0.60861,0.74861,4.847,104.906
12.600,0.61025,0.74595,5.022,105.309
12.650,0.61292,0.74403,5.029,105.775
12.700,0.61528,0.74133,5.150,106.271
12.750,0.61760,0.73985,5.132,106.667
12.800,0.62021,0.73787,5.146,107.141
12.850,0.62161,0.73509,5.358,107.543
12.900,0.62537,0.73354,5.221,108.123
12.950,0.62816,0.73108,5.272,108.672
13.000,0.63027,0.72938,5.292,109.075
13.050,0.63250,0.72683,5.401,109.572
13.100,0.63556,0.72500,5.349,110.109
13.150,0.63753,0.72292,5.423,110.539
13.200,0.63931,0.72105,5.491,110.929
13.250,0.64076,0.71917,5.589,111.282
